"","parent","par.name","child","chi.name","edge.length","depth","age","status"
"62",153,"node34",1,"t114_1",1.87678293636661,50.6113966542626,0,"extant"
"150",195,"node76",2,"t49_1",4.07689109882618,50.6113966542626,0,"extant"
"194",219,"node100",3,"t18_1",0.250861476181865,50.6113966542626,0,"extant"
"234",231,"node112",4,"t21_1",5.38435063425506,50.6113966542626,0,"extant"
"172",208,"node89",5,"t113_1",0.961814549311188,50.6113966542626,0,"extant"
"152",197,"node78",6,"t91_1",14.6794344332825,50.6113966542626,0,"extant"
"149",196,"node77",7,"t27_1",0.577833441129588,50.6113966542626,0,"extant"
"161",201,"node82",8,"t85_1",0.13574424173846,50.6113966542626,0,"extant"
"93",169,"node50",9,"t61_1",1.07523531626151,50.6113966542626,0,"extant"
"144",194,"node75",10,"t15_1",7.15237804598947,50.6113966542626,0,"extant"
"94",166,"node47",11,"t37_1",3.66201671797733,50.6113966542626,0,"extant"
"102",172,"node53",12,"t50_1",3.13897012470188,50.6113966542626,0,"extant"
"187",214,"node95",13,"t4_1",6.57372846239328,50.6113966542626,0,"extant"
"104",174,"node55",14,"t103_1",6.60110258038548,50.6113966542626,0,"extant"
"155",199,"node80",15,"t22_1",0.202478991698246,50.6113966542626,0,"extant"
"136",189,"node70",16,"t99_1",3.57274660804933,50.6113966542626,0,"extant"
"48",141,"node22",17,"t17_1",8.53042724646275,50.6113966542626,0,"extant"
"56",139,"node20",18,"t29_1",17.1036096753746,50.6113966542626,0,"extant"
"216",227,"node108",19,"t104_1",3.52579075203334,50.6113966542626,0,"extant"
"96",171,"node52",20,"t68_1",2.81860502855235,50.6113966542626,0,"extant"
"112",178,"node59",21,"t74_1",0.593927095685383,50.6113966542626,0,"extant"
"160",201,"node82",22,"t54_1",0.13574424173846,50.6113966542626,0,"extant"
"228",236,"node117",23,"t83_1",0.205521749370392,50.6113966542626,0,"extant"
"165",203,"node84",24,"t32_1",5.90275567381274,50.6113966542626,0,"extant"
"92",170,"node51",25,"t6_1",0.960894897632998,50.6113966542626,0,"extant"
"27",135,"node16",26,"t108_1",2.54242165277449,50.6113966542626,0,"extant"
"229",236,"node117",27,"t53_1",0.205521749370392,50.6113966542626,0,"extant"
"106",160,"node41",28,"t47_1",10.2957947203154,50.6113966542626,0,"extant"
"180",212,"node93",29,"t1_1",3.05927798877547,50.6113966542626,0,"extant"
"55",149,"node30",30,"t127_1",7.97516499662957,50.6113966542626,0,"extant"
"134",188,"node69",31,"t9_1",1.45244613086554,50.6113966542626,0,"extant"
"137",189,"node70",32,"t33_1",3.57274660804933,50.6113966542626,0,"extant"
"186",214,"node95",33,"t80_1",6.57372846239328,50.6113966542626,0,"extant"
"86",167,"node48",34,"t64_1",2.30393952966147,50.6113966542626,0,"extant"
"97",171,"node52",35,"t124_1",2.81860502855235,50.6113966542626,0,"extant"
"83",165,"node46",36,"t102_1",0.994000184066518,50.6113966542626,0,"extant"
"233",237,"node118",37,"t76_1",3.28645344592913,50.6113966542626,0,"extant"
"130",187,"node68",38,"t106_1",0.711951694907773,50.6113966542626,0,"extant"
"215",228,"node109",39,"t112_1",2.03903627763564,50.6113966542626,0,"extant"
"29",134,"node15",40,"t126_1",4.01185812699602,50.6113966542626,0,"extant"
"82",165,"node46",41,"t13_1",0.994000184066518,50.6113966542626,0,"extant"
"210",225,"node106",42,"t45_1",7.47937268570178,50.6113966542626,0,"extant"
"236",229,"node110",43,"t39_1",6.6398508461687,50.6113966542626,0,"extant"
"52",148,"node29",44,"t125_1",3.5425403308339,50.6113966542626,0,"extant"
"133",188,"node69",45,"t88_1",1.45244613086554,50.6113966542626,0,"extant"
"182",213,"node94",46,"t26_1",2.92097965750773,50.6113966542626,0,"extant"
"173",207,"node88",47,"t12_1",2.97683952550251,50.6113966542626,0,"extant"
"225",235,"node116",48,"t87_1",1.55861278014326,50.6113966542626,0,"extant"
"115",179,"node60",49,"t128_1",1.66973678931659,50.6113966542626,0,"extant"
"235",230,"node111",50,"t89_1",6.2551529823636,50.6113966542626,0,"extant"
"19",131,"node12",51,"t19_1",1.83440178900003,50.6113966542626,0,"extant"
"39",143,"node24",52,"t11_1",3.58861891816565,50.6113966542626,0,"extant"
"124",184,"node65",53,"t118_1",1.01547893648819,50.6113966542626,0,"extant"
"100",173,"node54",54,"t92_1",2.59422433537729,50.6113966542626,0,"extant"
"6",125,"node6",55,"t2_1",9.01261319781629,50.6113966542626,0,"extant"
"101",173,"node54",56,"t90_1",2.59422433537729,50.6113966542626,0,"extant"
"47",146,"node27",57,"t65_1",0.224108547370472,50.6113966542626,0,"extant"
"66",154,"node35",58,"t75_1",2.31412071110395,50.6113966542626,0,"extant"
"58",150,"node31",59,"t105_1",16.8205178265706,50.6113966542626,0,"extant"
"209",225,"node106",60,"t81_1",7.47937268570178,50.6113966542626,0,"extant"
"158",200,"node81",61,"t41_1",0.799888748773051,50.6113966542626,0,"extant"
"204",222,"node103",62,"t48_1",16.2220314809857,50.6113966542626,0,"extant"
"119",182,"node63",63,"t72_1",1.06918746223744,50.6113966542626,0,"extant"
"200",220,"node101",64,"t46_1",0.150148634167509,50.6113966542626,0,"extant"
"195",218,"node99",65,"t23_1",0.821037335719399,50.6113966542626,0,"extant"
"46",146,"node27",66,"t14_1",0.224108547370472,50.6113966542626,0,"extant"
"199",220,"node101",67,"t30_1",0.150148634167509,50.6113966542626,0,"extant"
"22",132,"node13",68,"t34_1",5.60034275178831,50.6113966542626,0,"extant"
"44",145,"node26",69,"t95_1",1.28647074279296,50.6113966542626,0,"extant"
"232",237,"node118",70,"t62_1",3.28645344592913,50.6113966542626,0,"extant"
"141",192,"node73",71,"t55_1",10.44688377223,50.6113966542626,0,"extant"
"125",184,"node65",72,"t24_1",1.01547893648819,50.6113966542626,0,"extant"
"51",148,"node29",73,"t123_1",3.5425403308339,50.6113966542626,0,"extant"
"164",203,"node84",74,"t43_1",5.90275567381274,50.6113966542626,0,"extant"
"114",179,"node60",75,"t35_1",1.66973678931659,50.6113966542626,0,"extant"
"14",126,"node7",76,"t107_1",3.82746180590702,50.6113966542626,0,"extant"
"40",143,"node24",77,"t40_1",3.58861891816565,50.6113966542626,0,"extant"
"28",135,"node16",78,"t84_1",2.54242165277449,50.6113966542626,0,"extant"
"171",208,"node89",79,"t56_1",0.961814549311188,50.6113966542626,0,"extant"
"88",168,"node49",80,"t98_1",1.80873576609504,50.6113966542626,0,"extant"
"65",154,"node35",81,"t70_1",2.31412071110395,50.6113966542626,0,"extant"
"91",170,"node51",82,"t97_1",0.960894897632998,50.6113966542626,0,"extant"
"193",219,"node100",83,"t44_1",0.250861476181865,50.6113966542626,0,"extant"
"145",194,"node75",84,"t110_1",7.15237804598947,50.6113966542626,0,"extant"
"24",133,"node14",85,"t129_1",5.49252817874076,50.6113966542626,0,"extant"
"43",145,"node26",86,"t20_1",1.28647074279296,50.6113966542626,0,"extant"
"196",217,"node98",87,"t36_1",2.66336860486031,50.6113966542626,0,"extant"
"197",216,"node97",88,"t117_1",2.88318900845503,50.6113966542626,0,"extant"
"12",128,"node9",89,"t116_1",0.634223877853922,50.6113966542626,0,"extant"
"174",206,"node87",90,"t122_1",5.01331696043076,50.6113966542626,0,"extant"
"18",131,"node12",91,"t69_1",1.83440178900003,50.6113966542626,0,"extant"
"122",183,"node64",92,"t78_1",5.4251932440389,50.6113966542626,0,"extant"
"71",157,"node38",93,"t77_1",3.29571527654072,50.6113966542626,0,"extant"
"230",233,"node114",94,"t38_1",3.37590958616349,50.6113966542626,0,"extant"
"214",228,"node109",95,"t93_1",2.03903627763564,50.6113966542626,0,"extant"
"63",153,"node34",96,"t109_1",1.87678293636661,50.6113966542626,0,"extant"
"54",149,"node30",97,"t31_1",7.97516499662957,50.6113966542626,0,"extant"
"226",235,"node116",98,"t8_1",1.55861278014326,50.6113966542626,0,"extant"
"69",156,"node37",99,"t16_1",3.58555334915939,50.6113966542626,0,"extant"
"120",182,"node63",100,"t3_1",1.06918746223744,50.6113966542626,0,"extant"
"111",178,"node59",101,"t42_1",0.593927095685383,50.6113966542626,0,"extant"
"126",180,"node61",102,"t63_1",8.09579066915538,50.6113966542626,0,"extant"
"73",155,"node36",103,"t79_1",4.022214383827,50.6113966542626,0,"extant"
"148",196,"node77",104,"t10_1",0.577833441129588,50.6113966542626,0,"extant"
"7",125,"node6",105,"t115_1",9.01261319781629,50.6113966542626,0,"extant"
"184",210,"node91",106,"t57_1",5.87955785663547,50.6113966542626,0,"extant"
"20",130,"node11",107,"t121_1",8.87530587113013,50.6113966542626,0,"extant"
"11",128,"node9",108,"t58_1",0.634223877853922,50.6113966542626,0,"extant"
"131",187,"node68",109,"t66_1",0.711951694907773,50.6113966542626,0,"extant"
"13",127,"node8",110,"t119_1",0.913243702276122,50.6113966542626,0,"extant"
"179",212,"node93",111,"t52_1",3.05927798877547,50.6113966542626,0,"extant"
"72",157,"node38",112,"t100_1",3.29571527654072,50.6113966542626,0,"extant"
"206",223,"node104",113,"t73_1",13.1925303969342,50.6113966542626,0,"extant"
"156",199,"node80",114,"t51_1",0.202478991698246,50.6113966542626,0,"extant"
"105",174,"node55",115,"t111_1",6.60110258038548,50.6113966542626,0,"extant"
"217",226,"node107",116,"t96_1",6.76839857555753,50.6113966542626,0,"extant"
"183",213,"node94",117,"t60_1",2.92097965750773,50.6113966542626,0,"extant"
"30",122,"node3",118,"t132_1",0,18.5705965048005,32.0408001,"sampanc"
"201",136,"node17",119,"t133_1",0,3.14611588878325,47.4652808,"sampanc"
"1",120,"node1",121,"node2",0.331902641395125,0.331902641395125,50.279494,"node"
"2",121,"node2",122,"node3",18.2386938634054,18.5705965048005,32.0408001,"node"
"3",122,"node3",123,"node4",3.07102811870932,21.6416246235099,28.969772,"node"
"4",123,"node4",124,"node5",0.399552151718268,22.0411767752281,28.5702199,"node"
"5",124,"node5",125,"node6",19.5576066812182,41.5987834564463,9.0126132,"node"
"8",124,"node5",126,"node7",24.7427580731275,46.7839348483556,3.8274618,"node"
"9",126,"node7",127,"node8",2.9142181036309,49.6981529519865,0.9132437,"node"
"10",127,"node8",128,"node9",0.279019824422201,49.9771727764087,0.6342239,"node"
"15",123,"node4",129,"node10",17.0307048563443,38.6723294798541,11.9390672,"node"
"16",129,"node10",130,"node11",3.06376130327836,41.7360907831325,8.8753059,"node"
"17",130,"node11",131,"node12",7.0409040821301,48.7769948652626,1.8344018,"node"
"21",129,"node10",132,"node13",6.33872442262019,45.0110539024743,5.6003428,"node"
"23",132,"node13",133,"node14",0.107814573047549,45.1188684755219,5.4925282,"node"
"25",133,"node14",134,"node15",1.48067005174473,46.5995385272666,4.0118581,"node"
"26",134,"node15",135,"node16",1.46943647422154,48.0689750014881,2.5424217,"node"
"31",121,"node2",136,"node17",2.81421324738812,3.14611588878325,47.4652808,"node"
"32",136,"node17",137,"node18",18.5068934221869,21.6530093109702,28.9583873,"node"
"33",137,"node18",138,"node19",11.0734743734909,32.7264836844611,17.884913,"node"
"34",138,"node19",139,"node20",0.781303294426898,33.507786978888,17.1036097,"node"
"35",139,"node20",140,"node21",0.274615637265637,33.7824026161536,16.828994,"node"
"36",140,"node21",141,"node22",8.29856679164625,42.0809694077999,8.5304272,"node"
"37",141,"node22",142,"node23",3.83788995737137,45.9188593651713,4.6925373,"node"
"38",142,"node23",143,"node24",1.10391837092573,47.022777736097,3.5886189,"node"
"41",142,"node23",144,"node25",2.9559676006977,48.8748269658689,1.7365697,"node"
"42",144,"node25",145,"node26",0.450098945600725,49.3249259114697,1.2864707,"node"
"45",144,"node25",146,"node27",1.51246114102321,50.3872881068922,0.2241085,"node"
"49",140,"node21",147,"node28",8.72844565788283,42.5108482740365,8.1005484,"node"
"50",147,"node28",148,"node29",4.55800804939227,47.0688563234287,3.5425403,"node"
"53",147,"node28",149,"node30",0.125383383596604,42.6362316576331,7.975165,"node"
"57",138,"node19",150,"node31",1.06439514323092,33.790878827692,16.8205178,"node"
"59",150,"node31",151,"node32",7.5001621882801,41.2910410159721,9.3203556,"node"
"60",151,"node32",152,"node33",0.5812126509498,41.8722536669219,8.739143,"node"
"61",152,"node33",153,"node34",6.8623600509741,48.734613717896,1.8767829,"node"
"64",152,"node33",154,"node35",6.42502227623676,48.2972759431587,2.3141207,"node"
"67",151,"node32",155,"node36",5.2981412544635,46.5891822704356,4.0222144,"node"
"68",155,"node36",156,"node37",0.436661034667609,47.0258433051032,3.5855533,"node"
"70",156,"node37",157,"node38",0.289838072618677,47.3156813777219,3.2957153,"node"
"74",137,"node18",158,"node39",2.8774958658868,24.530505176857,26.0808915,"node"
"75",158,"node39",159,"node40",12.960312545167,37.490817722024,13.1205789,"node"
"76",159,"node40",160,"node41",2.8247842119232,40.3156019339472,10.2957947,"node"
"77",160,"node41",161,"node42",1.08812657243588,41.4037285063831,9.2076681,"node"
"78",161,"node42",162,"node43",0.5947632680439,41.998491774427,8.6129049,"node"
"79",162,"node43",163,"node44",3.82011265079188,45.8186044252189,4.7927922,"node"
"80",163,"node44",164,"node45",0.0430365798868628,45.8616410051057,4.7497556,"node"
"81",164,"node45",165,"node46",3.75575546509037,49.6173964701961,0.9940002,"node"
"84",164,"node45",166,"node47",1.08773893117956,46.9493799362853,3.6620167,"node"
"85",166,"node47",167,"node48",1.35807718831587,48.3074571246012,2.3039395,"node"
"87",167,"node48",168,"node49",0.495203763566421,48.8026608881676,1.8087358,"node"
"89",168,"node49",169,"node50",0.733500449833538,49.5361613380011,1.0752353,"node"
"90",169,"node50",170,"node51",0.114340418628509,49.6505017566296,0.9608949,"node"
"95",163,"node44",171,"node52",1.9741872004914,47.7927916257103,2.818605,"node"
"98",162,"node43",172,"node53",5.47393475513375,47.4724265295607,3.1389701,"node"
"99",172,"node53",173,"node54",0.544745789324584,48.0171723188853,2.5942243,"node"
"103",161,"node42",174,"node55",2.60656556749405,44.0102940738771,6.6011026,"node"
"107",159,"node40",175,"node56",1.74909681931698,39.239914541341,11.3714821,"node"
"108",175,"node56",176,"node57",2.07030766458333,41.3102222059243,9.3011744,"node"
"109",176,"node57",177,"node58",6.84102912390731,48.1512513298316,2.4601453,"node"
"110",177,"node58",178,"node59",1.8662182287456,50.0174695585772,0.5939271,"node"
"113",177,"node58",179,"node60",0.79040853511439,48.941659864946,1.6697368,"node"
"116",176,"node57",180,"node61",1.20538377918292,42.5156059851072,8.0957907,"node"
"117",180,"node61",181,"node62",0.0193075600142194,42.5349135451215,8.0764831,"node"
"118",181,"node62",182,"node63",7.00729564690372,49.5422091920252,1.0691875,"node"
"121",181,"node62",183,"node64",2.65128986510226,45.1862034102237,5.4251932,"node"
"123",183,"node64",184,"node65",4.40971430755071,49.5959177177744,1.0154789,"node"
"127",175,"node56",185,"node66",3.0650442417678,42.3049587831088,8.3064379,"node"
"128",185,"node66",186,"node67",2.13120620912122,44.43616499223,6.1752317,"node"
"129",186,"node67",187,"node68",5.46327996712484,49.8994449593549,0.7119517,"node"
"132",186,"node67",188,"node69",4.72278553116707,49.1589505233971,1.4524461,"node"
"135",185,"node66",189,"node70",4.7336912631045,47.0386500462133,3.5727466,"node"
"138",158,"node39",190,"node71",10.4071742658424,34.9376794426994,15.6737172,"node"
"139",190,"node71",191,"node72",0.57158871007041,35.5092681527698,15.1021285,"node"
"140",191,"node72",192,"node73",4.65524472926281,40.1645128820326,10.4468838,"node"
"142",192,"node73",193,"node74",0.910624989381546,41.0751378714142,9.5362588,"node"
"143",193,"node74",194,"node75",2.38388073685897,43.4590186082731,7.152378,"node"
"146",193,"node74",195,"node76",5.45936768402226,46.5345055554364,4.0768911,"node"
"147",195,"node76",196,"node77",3.49905765769659,50.033563213133,0.5778334,"node"
"151",191,"node72",197,"node78",0.422694068210332,35.9319622209802,14.6794344,"node"
"153",197,"node78",198,"node79",11.4217767064027,47.3537389273829,3.2576577,"node"
"154",198,"node79",199,"node80",3.05517873518151,50.4089176625644,0.202479,"node"
"157",198,"node79",200,"node81",2.45776897810671,49.8115079054896,0.7998887,"node"
"159",200,"node81",201,"node82",0.664144507034591,50.4756524125242,0.1357442,"node"
"162",190,"node71",202,"node83",1.39518914521041,36.3328685879098,14.2785281,"node"
"163",202,"node83",203,"node84",8.37577239254005,44.7086409804499,5.9027557,"node"
"166",202,"node83",204,"node85",3.01380292201649,39.3466715099263,11.2647251,"node"
"167",204,"node85",205,"node86",1.94496254715785,41.2916340570842,9.3197626,"node"
"168",205,"node86",206,"node87",4.3064456367477,45.5980796938319,5.013317,"node"
"169",206,"node87",207,"node88",2.03647743492825,47.6345571287601,2.9768395,"node"
"170",207,"node88",208,"node89",2.01502497619132,49.6495821049514,0.9618145,"node"
"175",205,"node86",209,"node90",1.2217651026267,42.5133991597109,8.0979975,"node"
"176",209,"node90",210,"node91",2.21843963791629,44.7318387976272,5.8795579,"node"
"177",210,"node91",211,"node92",0.983479574269723,45.7153183718969,4.8960783,"node"
"178",211,"node92",212,"node93",1.83680029359028,47.5521186654872,3.059278,"node"
"181",211,"node92",213,"node94",1.97509862485801,47.6904169967549,2.9209797,"node"
"185",209,"node90",214,"node95",1.52426903215848,44.0376681918693,6.5737285,"node"
"188",204,"node85",215,"node96",7.18301056987669,46.529682079803,4.0817146,"node"
"189",215,"node96",216,"node97",1.19852556600458,47.7282076458076,2.883189,"node"
"190",216,"node97",217,"node98",0.219820403594726,47.9480280494023,2.6633686,"node"
"191",217,"node98",218,"node99",1.84233126914091,49.7903593185432,0.8210373,"node"
"192",218,"node99",219,"node100",0.570175859537534,50.3605351780808,0.2508615,"node"
"198",215,"node96",220,"node101",3.93156594029211,50.4612480200951,0.1501486,"node"
"202",120,"node1",221,"node102",34.2920641199985,34.2920641199985,16.3193325,"node"
"203",221,"node102",222,"node103",0.09730105327845,34.389365173277,16.2220315,"node"
"205",222,"node103",223,"node104",3.0295010840515,37.4188662573285,13.1925304,"node"
"207",223,"node104",224,"node105",2.43779280061062,39.8566590579391,10.7547376,"node"
"208",224,"node105",225,"node106",3.27536491062177,43.1320239685608,7.4793727,"node"
"211",224,"node105",226,"node107",3.98633902076602,43.8429980787051,6.7683986,"node"
"212",226,"node107",227,"node108",3.24260782352419,47.0856059022293,3.5257908,"node"
"213",227,"node108",228,"node109",1.4867544743977,48.572360376627,2.0390363,"node"
"218",221,"node102",229,"node110",9.67948168809541,43.9715458080939,6.6398508,"node"
"219",229,"node110",230,"node111",0.384697863805098,44.356243671899,6.255153,"node"
"220",230,"node111",231,"node112",0.870802348108542,45.2270460200076,5.3843506,"node"
"221",231,"node112",232,"node113",1.96363480662638,47.1906808266339,3.4207158,"node"
"222",232,"node113",233,"node114",0.0448062414651842,47.2354870680991,3.3759096,"node"
"223",233,"node114",234,"node115",0.939080267542647,48.1745673356418,2.4368293,"node"
"224",234,"node115",235,"node116",0.878216538477585,49.0527838741194,1.5586128,"node"
"227",234,"node115",236,"node117",2.23130756925045,50.4058749048922,0.2055217,"node"
"231",232,"node113",237,"node118",0.134262381699545,47.3249432083335,3.2864534,"node"
"237",NA,NA,120,"node1",NA,0,50.6113966542626,"root"
